City_ID,City,Country,MaxTemp,Current Description,Lat,Lon,Hotel Name
365,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
366,Kaeo,NZ,59.32,clear sky,-35.1,173.7833,Pacific Harbour Lodge
369,Mount Isa,AU,69.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
371,Kokstad,ZA,53.4,overcast clouds,-30.5472,29.4241,The Nolangeni Hotel
382,Nemuro,JP,66.45,light rain,43.3236,145.575,Hotel Nemuro Kaiyoutei
393,Puerto Ayora,EC,68.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
394,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
395,Sol'-Iletsk,RU,68.07,overcast clouds,51.1631,54.9918,Hotel Volga
397,Geraldton,AU,55.81,clear sky,-28.7667,114.6,Ocean Centre Hotel - Stay Beachside in Geraldton!
402,Bredasdorp,ZA,53.1,light rain,-34.5322,20.0403,Victoria Hotel - Bredasdorp
404,Laas,IT,65.28,overcast clouds,46.6166,10.7002,Gasthof Hotel Sonne Silandro
411,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
412,Bambous Virieux,MU,69.22,light rain,-20.3428,57.7575,La Hacienda Hotel
413,Mar del Plata,AR,52.88,clear sky,-38.0023,-57.5575,HOTEL TRONADOR
414,Mahébourg,MU,69.26,scattered clouds,-20.4081,57.7,Anantara Iko Mauritius Resort & Villas
415,Matagami,CA,57.31,clear sky,49.7502,-77.6328,Motel Le Caribou
420,Oudtshoorn,ZA,52.16,overcast clouds,-33.5907,22.2014,Protea Hotel by Marriott Oudtshoorn Riempie Estate
422,Codrington,AU,50.67,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
426,Esperance,AU,54.88,broken clouds,-33.8667,121.9,The Jetty Resort
429,Port Alfred,ZA,61.95,overcast clouds,-33.5906,26.891,Royal St Andrews Hotel
432,Saint-Pierre,RE,67.91,clear sky,-21.3393,55.4781,Le Battant Des Lames
441,Guarujá,BR,63.9,broken clouds,-23.9931,-46.2564,Comfort Hotel Santos
443,Los Llanos de Aridane,ES,69.55,clear sky,28.6585,-17.9182,Hotel Hacienda de Abajo
444,Carnarvon,AU,63.54,clear sky,-24.8667,113.6333,Carnarvon Hotel
448,Pangody,RU,57.72,overcast clouds,65.85,74.4859,Хостел Адмиралъ
451,Kyzyl-Suu,KG,60.48,broken clouds,42.3414,78.0056,Дом с завтраком и постелью
452,Saint-Philippe,RE,64.22,light rain,-21.3585,55.7679,Hôtel Les Embruns Du Baril
460,Markova,UA,52.83,clear sky,48.6758,24.4138,Vas.VOM
464,Inta,RU,55.47,overcast clouds,66.0317,60.1659,Отель Инта
466,Siedlce,PL,62.2,overcast clouds,52.1677,22.2901,Hotel Arche
